year,state,dem_voteshare,rep_voteshare
1994,Maine,0.363552868,0.60235318
1994,Maryland,0.59099,0.408960332
1994,Massachusetts,0.580747221,0.41010209
1994,Michigan,0.427471385,0.51875461
1994,Minnesota,0.440999047,0.490517669
1994,Mississippi,0.31204848,0.68795152
1994,Missouri,0.356989064,0.597228012
1994,Montana,0.376283937,0.623716063
1994,Nebraska,0.547814677,0.450044457
1994,Nevada,0.509300187,0.410007095
1994,New Jersey,0.502941038,0.470217584
1994,New Mexico,0.539704574,0.459902503
1994,New York,0.474503827,0.321246973
1994,North Dakota,0.579829801,0.420170199
1994,Ohio,0.392277714,0.534366595
1994,Oklahoma,0.399507344,0.552090225
1994,Pennsylvania,0.469203421,0.494025806
1994,Rhode Island,0.354766234,0.645233766
1994,Tennessee,0.403595346,0.583868391
1994,Texas,0.383092987,0.608470679
1994,Utah,0.282951797,0.688030518
1994,Vermont,0.405665369,0.50316055
1994,Virginia,0.456084022,0.428786812
1994,Washington,0.442514968,0.557485032
1994,West Virginia,0.690116787,0.309883213
1994,Wisconsin,0.582936687,0.406858462
1994,Wyoming,0.393074215,0.588736305
1996,Alabama,0.454617969,0.524502916
1996,Alaska,0.103386571,0.7670579
1996,Arkansas,0.472995794,0.527004206
1996,Colorado,0.457385272,0.514054868
1996,Delaware,0.600400594,0.381318693
1996,Georgia,0.488660266,0.475370747
1996,Idaho,0.399052356,0.570219595
1996,Illinois,0.560852486,0.406713024
1996,Iowa,0.51808662,0.467141972
1996,Kansas,0.389096729,0.579446731
1996,Kentucky,0.428456229,0.554528303
1996,Louisiana,0.501702251,0.498297749
1996,Maine,0.438754271,0.49181495
1996,Massachusetts,0.521973895,0.447240196
1996,Michigan,0.583573218,0.398691322
1996,Minnesota,0.503196429,0.412841603
1996,Mississippi,0.27387892,0.710345958
1996,Montana,0.495558173,0.446909127
1996,Nebraska,0.425941735,0.574058265
1996,New Hampshire,0.462222972,0.49251941
1996,New Jersey,0.526849978,0.425651282
1996,New Mexico,0.29784296,0.647258803
1996,North Carolina,0.4591806,0.526444813
1996,Oklahoma,0.400762372,0.56680049
1996,Oregon,0.45901796,0.497956963
1996,Rhode Island,0.63308002,0.34955581
1996,South Carolina,0.44000806,0.53379474
1996,South Dakota,0.513219328,0.486780672
1996,Tennessee,0.368218506,0.613693199
1996,Texas,0.439403333,0.547754377
1996,Virginia,0.473935062,0.52479557
1996,West Virginia,0.766479633,0.233520367
1996,Wyoming,0.42213505,0.540636829
1998,Alabama,0.366913689,0.632418307
1998,Alaska,0.197211991,0.744913371
